timestamp,ip_address,request_details,status_code,bytes_sent,referer,user_agent,is_anomaly,,,
[27/Dec/2022:12:01:00 +0530],233.200.137.100,POST /usr/login HTTP/1.0,403,4965,,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",0,,,
[27/Dec/2022:12:01:00 +0530],127.178.20.10,POST /usr HTTP/1.0,404,5031,http://www.parker-miller.org/tag/list/list/privacy/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",0,,,
[27/Dec/2022:12:01:00 +0530],52.135.10.160,PUT /usr HTTP/1.0,200,4995,,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",0,,,
[27/Dec/2022:12:01:00 +0530],51.111.178.196,GET /usr/admin/developer HTTP/1.0,502,4973,http://www.parker-miller.org/tag/list/list/privacy/,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",0,,,
[27/Dec/2022:12:01:00 +0530],102.107.36.69,POST /usr/login HTTP/1.0,502,4932,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",0,,,
[27/Dec/2022:12:01:00 +0530],211.216.195.195,GET /usr/admin/developer HTTP/1.0,303,5068,http://www.parker-miller.org/tag/list/list/privacy/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",0,,,
[27/Dec/2022:12:01:00 +0530],242.114.247.252,DELETE /usr/register HTTP/1.0,303,5077,,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,0,,,
[27/Dec/2022:12:01:00 +0530],250.68.88.150,GET /usr HTTP/1.0,502,4972,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",0,,,
[27/Dec/2022:12:01:00 +0530],7.4.87.49,POST /usr/admin HTTP/1.0,404,4912,http://www.parker-miller.org/tag/list/list/privacy/,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",0,,,
[27/Dec/2022:12:01:00 +0530],89.151.226.31,DELETE /usr/admin/developer HTTP/1.0,404,5077,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,0,,,
[27/Dec/2022:12:01:00 +0530],121.196.121.184,GET /usr HTTP/1.0,404,4933,,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,0,,,
[27/Dec/2022:12:01:00 +0530],193.242.187.191,PUT /usr/login HTTP/1.0,404,5028,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",0,,,
